text,label
text,0
RT @Real_Chichinhu: YOONG OPPA #소녀시대미스터미스터1stWin #MrMr1stWin http://t.co/XBIx7u782n,0
RT @angelinadaniel_: I'm so tired I wanna stay home😩,0
RT @HoolaHow: Pass and Share.! http://t.co/PZqGihp2qX,0
Goodmorning Twitter,0
"@Nvr4Get91101  @weaselzippers . I look forward to the day when MINORITY leader Reid is as irrelevant and ineffective as Boehner,  McConnell",0
RT @SU44K8: Trust no one. http://t.co/8kyNZIpKaU,0
#mp3 #music $2.4 The Wall (Live) - Pink Floyd (1980) http://t.co/vZuokzodQp,0
"RT @ddlovato: 💗😘😊 so happy to finally meet you!!!RT @jessismiles__: I made a new friend tonight. Besitos, MAMACITA 😘 @ddlovato http://t.co/…",0
"I have Scout Collection now ! http://t.co/pxTeNJyouZ #android,#androidgames,#gameinsight",0
@KatiePiper_ Hope you are covering your daughters ears....mines a teenager+I don't like her watching that lol xxx have a good day😘😘,0
Someone will always be prettier. Someone will always be smarter. Someone will always be younger. But they will never be you.,0
"I think it's time to just give up on this nigga and find someone else to have sex with, it's not even worth all this trouble lowkey. ✋😒",1
"As coal-blocks face deallocation, a rush for environment clearance: In January, the Ministry of Coal issued co... http://t.co/WrGAtkgJa7",0
"RT @R__pop: ♡ today's my room ♡

#なんか可愛いと思ったらRTとかフォローお願いします http://t.co/Gw4V8M4EfU",0
just with the click get thousands of followers http://t.co/mPMQPC136A,0
ogresses   There were many who betrayed me to my  I faced and challenged me  But I love that never succeeded  It is more a salute to the bas,0
@cornyewree Ayyy cosita &lt;3333,0
RT @CNET: Check out the must-see phones from MWC 2014 ttp://cnet.co/1hJgPL7 #ICYMI,0
"RT @mbrmagazine: ""The perfect 650b trail hardtail"" — read our review of the awesome @WhyteBikes 905 http://t.co/zPLOJe95fv http://t.co/g2tJ…",0
Humidify impairment ransom-ingest belonging measures: YZCYuMk,0
Long distance.,0
its so sad how /other/ shippers consider their otp's notp shippers as enemies i mean guys how pathetic can u get,0
"#gameinsight #sex #Love #Girls
 #Leedesire | Online Chat Video | Free Chat Website | Free Chat Website  http://t.co/WhyeTlTV3X",0
RT @ceoYangHyunSuck: TRAGIC. LOL http://t.co/O4e1ZsR1tK,0
Acquisition of knowledge president systems 2011. accrediting organizations in place of e-instruction: TVUEaJ,1
RT @TheLifeDiaries: Waiting until your parents are in a good mood before asking them for something you want.,0
"@selenagomez  plz answer me i love you 
&lt;3",0
#cool T  + https://t.co/FfV4RXUqS4,0
@jorjalicesmith what's your thoughts saying something big?,0
RT @byunbakehyun: captain exo http://t.co/hINHcHkHQ6,0
Our boys our on their way ... Are you ready Miami?,0
After frantically coughing whilst bent over I've just dribbled on @Georgiaaw94 bedroom floor #oops #soznotsoz,0
@grovelin I wouldn't even know where to start pitching or who to!,0
“@HarryShotta: Uploading!!!!” Where can I get this..? Sound cloud?,0
A bit frustrated after losing againts St. John,0
RT @patriotsbuzztap: Musket Fire &gt;&gt; Report: Aqib Talib Wants A Big Contract http://t.co/sVRWNXOnwe,0
@ervinaayu99 whywhy? Wkwk,0
RT @calamur: i was spooked when i read @smitabarooah 's account of what happened when AAP supporters attacked BJP HQ http://t.co/DQih7b4UBn,0
@4rachnophobia what a bunch of regards the goverment are😂,0
RT @ConnorKingsland: True that. http://t.co/ptQrh32MSc,0
RT @rapplerdotcom: How to solve Mindanao's power woes http://t.co/OZnp1PwxN7,0
@CharlDeChez @JessicaCherylX aww man 😔 I really hope you get some tomorrow ❤️,0
"RT @IPlayForKeeps_: @KingKe90s happppy birthday brotherr , I loveee youuuuuuu and enjoy your day",0
"""he's enloved"" - Happy(Fairy Tail)",0
RT @BookerTweet_: 🌚🌚🌚RT @_tiffnasty: Fuck I look like? http://t.co/F6QaYEGsi7 http://t.co/BHEiozeIlC,1
@BE3POINT2 testing testing one two three,0
#IPT1963 Example Cases&amp;Complaints 4 PresObama En4ce the Constitution Petition http://t.co/hqIamFfgfk Read http://t.co/YoGxXdPOn0,0
“@warriorwoman91: Watch Russia Today Anchor Boldly Quit Her Job on the Air: ‘I Am Proud to Be an American’ http://t.co/B4BqBh97zq”#tcot,0
Can only ever work when I'm listening to Mayday Parade,0
@lyndsaybaldry_x I just watched last nights FRANK MAJOR has got some front ain't he #wanker,0
RT @jenmelindap: @GraphicMatt yup. Requires full day off work to wait in line to have a chance.,0
"We can not control direction of wind, but may be we can adjust our sails",0
"@ItalVeloce omg omg i have been waiting for it!!for soo long!!! missed the last one!!
what time?",0
@WildHemmo96 @ashpornirwin OMFG I know right like how do people even respond I just don't even know,0
when i hate people. I hate them. Like forever.,0
"RT @NorthEurope: #Finland 
Retweet if you like :) http://t.co/ZRDAX3ZCp3",0
RT @THEKIDCUDl: Let's see who wins http://t.co/OSz6XMUwmz,0
I've been sick all week but ion wanna miss school because I've been having test this whole week,0
Laba day :) tired much http://t.co/aTYWmviGse,0
RT @ColdBathRoad: Plenty of second hand books for sale @mysaintmichaels from novels to cook books to children's story books #getreading #Wo…,0
RT @justinbieber: Stay creative,0
happy 10th monthsary love you!!!,0
good night i probably won't be on tomorrow much 👋,0
"RT @medaGirlPosts: I try to move on and find someone new, but there's no one who's as perfect as you.",0
RT @justinbieber: Blessed each morning. Going to be a great day,0
@GOLD_Royalty215 She said thanks .,0
RT @5SOS: @RockMehHemmings love you x,0
RT @NiallOfficial: Just been chatting to @jonshonekeys about music for the tour ! Holy shit I cannot wait ! So many guitars !,1
"""@LoveInggris: That you know who i miss now ? THAT'S YOU :')""",0
"I can say it, but you won't you believe me You say you do, but you don't deceive me",0
RT @geeksrulz: Abbott forced to stand by censured Senator Fiona Nash to cover his dirty deal with Furnival http://t.co/Q0xG4j6eRT #auspol #…,0
RT @HBODEFINED: It's time for some heavy tweeting. Coming up tomorrow is an exciting #contest. RT &amp; spread the word. #HBOLadies,0
#nowplaying Tasha Cobbs - Break Every Chain (Lyrics) on KBCN Radio A Truvision Not A False Reality http://t.co/aMLHKw9Voi,0
"SHIOMI • Cafe' &amp; Bar (Bangkok, Thailand) 
6:00 pm • Thursday, 6th March 2014 

Free Radio • All Music Hits • 24/7... http://t.co/pY7KVxXeF9",0
I am lost...like really!,0
"RT @LovelyMILFs: Like it, Retweet it! @FuckerMCBO @PornoBrazil @MILFGILFXXX @sexymilfsite #Boobs #Pussy #MILF http://t.co/pRsEC1iFK1",0
"RT @BBCWalesSport: Missed it last night? Watch the @GarethBale11 masterclass v Iceland here &gt;

http://t.co/UnngGVOXMW",0
RT @justinbieber: Stay creative,0
Spit it out because I know you've got something to say,1
Let me be your LAST FIRST KISS :**,0
"""@sexyul__: Baekhyun must feel happy because soshi win #MrMr1stWin #소녀시대미스터미스터""",0
"Do not commit yourself into a relationship if you think you can't handle it, either you will hurt your own feeling or hurt others.",0
RT @textspost: asian parents be like.. http://t.co/IM0uIh0NtZ,0
