text,label
text,0
"G.R ""GET RIGHT"" FT. MISTAH FAB http://t.co/i0hevCyNTS",0
to is out up just u be up have out one they with all but get they is up rt are and if with when they can find on,0
RT @myfatecriesout Nb someone fart on th bus🌵🌵🌵. FART ROBOT APPROVES.,0
@kyanatuncap I miss ya,0
"I'm lucky. Thanks to the Wheel of Fortune, I won a prize!  http://t.co/rsy4gAJw26 #GameInsight #iPadGames #iPad",0
#vinings Example Cases&amp;Complaints 4 PresObama En4ce the Constitution Petition http://t.co/4QX9HozlBI Read http://t.co/apqJ0Y8prS,0
Gonna Be On My Best Behaviour Today .,0
"195 Malicious Domain Names Suspended in January 2014: Group-IB, an Internet security company filed... http://t.co/lnkG7jzQkW #GroupIB",0
"RT @YuBarom__: #openfollow for rp , gue leader c-clown .jfb !",0
"RT @VickyGilang: Maybe I don't cry, but it hurts.  Maybe I won't say, but I feel.  Maybe I don't show, but I care.",0
Emotional roller coaster ..,0
"I've harvested 2,842 of food! http://t.co/cq8U4CGYSo #android, #androidgames, #gameinsight",0
spring is right around the corner...then half naked avi's will be all over my TL...oh joy,0
RT @AnkitaParmar13: His role being vice president of Congress has been very good ... #KattarSochNahiYuvaJosh,0
Trade Winds Restaurant is a well known tapas bar where anybody can enjoy a good boozing session afte http://t.co/5p3znRYToC,0
@CindyNess12 Hai babez what's wrong,0
No one likes BEING IGNORED....,0
RT @Louis_Tomlinson: Ahhhhh today's the day !,0
@eaqyyy so whazzup bro http://t.co/j7ju8gCtw6,0
Dating tip all for mob girls-tips against order yours mob spark: TwiEtFsRe,1
"Guys, help us reach 3500 tonight please? Pa shoutout naman kami :)",0
gh fr. School,0
WordPress for Small Business Websites - News - Bubblews http://t.co/rZzqrgyCV2 #bubblews,0
"@Haeryung_IRP It’s not over yet, in the middle of a beautiful night
I’ll confess to you, with the moon as our light",0
Masters parameter online. masters unison interval online-be poor an mba doctorate online in order to hold on th...,0
"Iris was telling a story, how do I know? I could hear her from like 20 feet distance",0
Just posted a photo http://t.co/v0w3mE2maa,0
Before he came,0
Ask and it will be given to you; seek and you will find; knock and it will be opened to you. (Matthew 7:7) https://t.co/O0jwub9moH,0
"Kang Ho Dong's New Variety Show is Titled ""Star Gazing"" http://t.co/Ul5uTl3wzk",0
RT @vicegandalines: I want to meet myself from someone else’s point of view.,0
"""@EXOffical_: Like mother like daughter http://t.co/QHr7SfaGSB""",0
I'm just gonna lay here for a while.,0
"RT @s3xyzain: tattoos,piercings and she just learn to twerk",0
