text,label
text,0
Fuckin hell I get moaned at for breathin in this house,1
"Senior Tories knew about Nigel Evans sexual assault claims, court hears http://t.co/5ry09FSTee",0
RT @live_bike_die: This is perfect weather,0
"Vintage Gilbarco Petrol Pump
Ebay ad here --&gt; http://t.co/mmVPYra88N http://t.co/27ppE3arIA",0
@WhyWereBroke there are no fuckin doors on it how tf is it gonna keep zombies out?!,1
Explore maple sugaring this weekend on Ohio's Maple Madness driving tour: http://t.co/lq1z0lMNOf @indystar #travel,0
ALEX&amp;reg; Toys - Do-it-Yourself Wear! Friends 4 Ever -Jewelry 737WX Sale: $12.22 vs $27.94 http://t.co/BVPKRq76VF,0
How Canada keeps some immigrant women in their place http://t.co/wBJq7a5Bwa via @torontostar,1
"Im not leaving, im just taking a break from this drama",0
30 minutes left for TRIVIA TUESDAY!,0
"Watch our video on @animoto called ""USS Cowpens Halfway Party"" http://t.co/GQiZl2qDlj",0
"Google Is Getting Ready To Open Its First-Ever Retail Store In Manhattan, Right Near An Apple Store http://t.co/CDm0Kzao2Z via @mediafed",0
#NowPlaying: Capture the crown - #OIMATEWTF,0
I uploaded new artwork to http://t.co/VgvH9EZr3I! - 'Wintersun Cast Long Shadows ' - http://t.co/earrz0d8WP via @fineartamerica,0
Scholarship for African reporters to upcoming investigative journalism conference in Canada via by @GlobalIntegrity https://t.co/eeqDi9OoAW,0
I asked the DNR to fix one of #PolyMet's Problems. Learn more and take action today - public input closes 3/14! http://t.co/WWVX08oAuq,0
"Think Pink, Live Lime and Fight Cancer for My 50th! https://t.co/SvHQ2oCuQm #fundly",0
"The Truth About '10,000 Steps' A Day http://t.co/of0RXpaYpr",0
Print ad: Trivial Pursuit - hasbro #advertising http://t.co/sCstVK8YYP,0
"Neil Young’s high-fidelity music player to sell for $399, hits Kickstarter Saturday - http://t.co/rwmEfBtBLW",0
"Extremely, unrepairably emotionally damaged http://t.co/Ruy4qNkD5a",0
Flowers Peach Baby Sandals Spring Summer Leaf Green by Hopphopp http://t.co/1UhsKXK4Kw via @Etsy https://t.co/aQdJZmLIuo,0
This is great. http://t.co/HbeHGov569,0
Massachusetts High School Brings 3D Printing to AP Physics http://t.co/z9W6XPB2a4,0
@Harriman_10 @Climaxfield @WeezyF_Brady @eanrouillard @dallassclark @rswainy tee game anyone?,0
Hot Air Balloon Festival.:) http://t.co/qq1dlaOtbB #retweet #balloon #festival #fly,0
Barracuda Lake Dive http://t.co/pHyWVpOl0q #retweet,0
FUCK IS WRONG WITH TWITTER,1
"Sometimes, accepting help is harder than offering it. #Inspiration",0
@hibzter my mwf class finished. And we have Thursday off,0
Sly sly sly sly sly sly sly little twats,1
Twitter Help Center | My account is suspended https://t.co/4ANWRGVJL4 via @support,0
Calling it a day✌️,0
Terrified of my mom when she is like this.,0
Bow river from the summit of Tunnel Mt. #bowriver #tunnelmountain #banff #rockies #canada http://t.co/EN6WbIpCtp,0
"#Boscombe #tardis to be installed by end of spring. Watch out for grand opening. 
Boscombe business forum.",1
My tire blew. Why? WHY? WHY?!,0
From the Inside by Linkin Park — https://t.co/USUxNqryHQ,0
Don't you dare come to America and shit on James brown!,1
Go fuck yourself. Love it!! #comcast #funnyordie http://t.co/UAYbtmJCwi,0
RT @NouranNasr_: 'I hope you look for me in everyone you meet.',0
